age_group,Comune,Sesso,Popolazione,Year
Old,Cesano Boscone,Maschi,2114,2011
Old,Cesate,Femmine,1313,2011
Old,Cesate,Maschi,917,2011
Old,Cinisello Balsamo,Femmine,8860,2011
Old,Cinisello Balsamo,Maschi,6690,2011
Old,Cisliano,Femmine,339,2011
Old,Cisliano,Maschi,303,2011
Old,Cologno Monzese,Femmine,5415,2011
Old,Cologno Monzese,Maschi,4126,2011
Old,Colturano,Femmine,140,2011
Old,Colturano,Maschi,124,2011
Old,Corbetta,Femmine,1679,2011
Old,Corbetta,Maschi,1242,2011
Old,Cormano,Femmine,2413,2011
Old,Cormano,Maschi,1782,2011
